,ident,Code,Adresse,Surface,Type,Tutelle pédagogique,Statut
0,75002001,75002,2/4 rue Vivienne,3886.0,Université,Enseignement Supérieur,Public
1,75002005,75002,2/4 rue Vivienne,3886.0,Grand Etablissementt,Enseignement Supérieur,Public
2,75002006,75002,35 rue du Louvre,534.0,Grande Ecole (conférence),Education Nationale,Privé
3,75003003,75003,1 rue Montgolfier,6119.0,Grand Etablissementt,Enseignement Supérieur,Public
4,75003008,75003,69-70 rue Turbigo,360.0,Grand Etablissementt,Enseignement Supérieur,Public
5,75003009,75003,2 rue Conté,115.0,Grand Etablissementt,Enseignement Supérieur,Public
6,75005001,75005,1/3 rue d'Ulm,791.0,Université,Enseignement Supérieur,Public
7,75005024,75005,295 rue Saint Jacques,465.0,Université,Enseignement Supérieur,Public
8,75005025,75005,1 rue Censier,269.0,Université,Enseignement Supérieur,Public
9,75005027,75005,21 rue Broca,1260.0,Université,Enseignement Supérieur,Public
10,75005033,75005,2/4 place Jussieu,140000.0,Université,Enseignement Supérieur,Public
11,75005036,75005,2 rue Cujas,2189.0,Université,Enseignement Supérieur,Public
12,75005038,75005,41 rue Gay Lussac,929.0,Grand Etablissementt,Enseignement Supérieur,Public
13,75005041,75005,10 rue Cuvier,13671.0,Université,Enseignement Supérieur,Public
14,75005046,75005,13 rue Champollion,144.0,Université,Enseignement Supérieur,Public
15,75005054,75005,9 rue Vésale,1064.0,Grande Ecole (conférence),Education Nationale,Privé
16,75005057,75005,17 rue des Bernardins,452.0,Grand Etablissementt,Enseignement Supérieur,Public
17,75005078,75005,10 rue Vauquelin,13840.0,Grande Ecole (conférence),Intérieur - Décentralisation,Ville de Paris
20,75006004,75006,118/122  rue de Vaugirard,2401.0,Université,Enseignement Supérieur,Public
21,75006006,75006,54 bd Raspail,3614.0,Grand Etablissementt,Enseignement Supérieur,Public
22,75006009,75006,96/106 bd Raspail,2436.0,Université,Enseignement Supérieur,Public
23,75006010,75006,96/106 bd Raspail,2436.0,Grand Etablissementt,Enseignement Supérieur,Public
24,75006011,75006,101 bd Raspail,1206.0,Autre,Enseignement Supérieur,Privé
25,75006014,75006,105 bd Raspail,1988.0,Université,Enseignement Supérieur,Public
26,75006015,75006,14 rue Bonaparte,20758.0,Grande Ecole (conférence),Culture,Public
27,75006016,75006,14 rue Bonaparte,20758.0,Autre,Aménagement & Développement Durable,Public
28,75006022,75006,5/15 rue de l'Ecole de Médecine,14504.0,Université,Enseignement Supérieur,Public
29,75006025,75006,21 rue d'Assas,12003.0,Université,Enseignement Supérieur,Privé
30,75006033,75006,3/7 avenue Vavin,1319.0,Université,Enseignement Supérieur,Public
32,75007001,75007,23/29 rue Saint Guillaume,5012.0,Grand Etablissementt,Enseignement Supérieur,Public
33,75007002,75007,28 rue Saint Guillaume,1339.0,Université,Enseignement Supérieur,Public
34,75007004,75007,53 rue de Grenelle,3753.0,Grande Ecole (conférence),Enseignement Supérieur,Privé
35,75007008,75007,2 rue de Lille,985.0,Grand Etablissementt,Enseignement Supérieur,Public
36,75007012,75007,13 rue de l'Université,2195.0,Grand Etablissementt,Enseignement Supérieur,Public
37,75009003,75009,2bis rue du Conservatoire,1470.0,Autre,Culture,Public
38,75010001,75010,8/12 avenue de Verdun,4909.0,Université,Enseignement Supérieur,Public
